 medici postiletto pediatri interv_PS soddisfaz
Piemonte 8.47 5.0 8.38 413.9 48.5
ValledAosta 8.60 4.2 8.68 298.2 35.5
Lombardia 8.18 5.5 7.80 386.6 48.5
Trentino-AltoAdige 6.13 6.2 6.86 423.6 56.8
Veneto 7.99 5.3 8.46 454.3 61.5
Friuli-VeneziaGiulia 8.84 5.7 7.40 393.4 51.8
Liguria 8.89 5.6 10.57 399.6 44.6
Emilia-Romagna 8.29 5.4 10.54 387.6 50.6
Toscana 8.73 4.9 9.64 325.3 43.3
Umbria 9.97 4.3 11.33 393.4 41.8
Marche 8.36 5.7 9.01 408.8 50.1
Lazio 9.19 6.5 9.84 436.2 32.6
Abruzzo 8.04 6.5 8.87 515.5 43.3
Molise 8.44 5.3 7.21 410.2 27.5
Campania 7.69 4.7 5.88 410.5 37.2
Puglia 7.97 5.2 8.16 358.7 17.7
Basilicata 8.49 4.4 6.70 338.2 34.3
Calabria 8.34 4.9 7.79 349.4 26.2
Sicilia 7.84 4.2 9.07 439.5 35.7
Sardegna 7.79 5.3 8.29 264.0 25.7
