City,Continent,Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index
New York,North America,January,2024,70,High,35,40,6.5,100,80
Los Angeles,North America,January,2024,65,Medium,40,50,6.8,90,75
Chicago,North America,January,2024,60,Medium,30,55,7.0,85,70
London,Europe,January,2024,55,High,50,60,7.2,110,85
Paris,Europe,January,2024,60,High,45,65,6.9,95,80
Berlin,Europe,January,2024,50,Low,55,35,7.5,80,85
Tokyo,Asia,January,2024,65,High,30,70,6.0,120,90
Seoul,Asia,January,2024,70,High,25,75,5.8,105,75
Mumbai,Asia,January,2024,80,Very High,15,80,4.5,70,60
Sydney,Oceania,January,2024,55,Low,60,30,7.8,115,88
Istanbul,Asia,February,2024,75,High,45,85,6.8,75,70
Rio de Janeiro,South America,February,2024,65,Medium,50,55,6.5,80,75
Toronto,North America,February,2024,60,Medium,55,40,7.1,95,85
Mexico City,North America,February,2024,70,Very High,35,90,5.2,65,60
Cape Town,Africa,February,2024,55,Low,60,45,7.6,70,80
Bangkok,Asia,February,2024,80,High,25,110,4.0,50,55
Buenos Aires,South America,February,2024,65,High,40,60,6.1,60,75
Amsterdam,Europe,February,2024,50,Low,75,50,7.9,105,90
Cairo,Africa,February,2024,75,Very High,20,115,3.5,55,65
Moscow,Europe,February,2024,60,High,30,80,5.8,70,80
Singapore,Asia,March,2024,65,High,45,60,7.0,125,95
Dubai,Asia,March,2024,70,Medium,35,120,6.0,110,85
Hong Kong,Asia,March,2024,75,High,25,100,5.5,130,90
Barcelona,Europe,March,2024,60,Medium,65,35,7.7,90,85
Lisbon,Europe,March,2024,55,Low,70,40,7.8,75,82
Melbourne,Oceania,March,2024,55,Low,60,45,7.9,115,90
Auckland,Oceania,March,2024,50,Low,80,35,8.1,100,95
Rome,Europe,March,2024,60,High,40,70,6.7,85,80
Athens,Europe,March,2024,65,Medium,45,75,6.2,70,75
Vienna,Europe,March,2024,55,Low,70,30,8.2,95,95
Dublin,Europe,April,2024,60,Medium,55,40,7.0,105,85
Copenhagen,Europe,April,2024,50,Low,75,35,8.3,110,98
Stockholm,Europe,April,2024,55,Low,80,30,8.0,100,97
Oslo,Europe,April,2024,50,Low,85,25,8.5,115,99
Helsinki,Europe,April,2024,55,Low,90,20,8.4,90,95
Prague,Europe,April,2024,60,Medium,50,65,7.3,80,85
Budapest,Europe,April,2024,65,Medium,45,70,6.8,75,80
Warsaw,Europe,April,2024,60,Medium,40,75,6.7,70,82
Sofia,Europe,April,2024,70,High,35,80,6.0,60,75
Belgrade,Europe,April,2024,75,High,30,85,5.5,55,70
São Paulo,South America,May,2024,70,High,40,95,5.0,65,75
Lima,South America,May,2024,75,Very High,25,100,4.2,55,60
Santiago,South America,May,2024,65,High,35,105,5.5,70,70
Bogota,South America,May,2024,70,High,30,110,5.0,60,65
Caracas,South America,May,2024,75,Very High,20,115,3.0,50,55
Quito,South America,May,2024,65,High,25,120,4.5,55,60
Panama City,North America,May,2024,70,Medium,30,125,5.8,60,65
Kingston,Oceania,May,2024,75,High,25,130,5.5,65,70
Havana,North America,May,2024,65,Medium,35,135,6.0,50,60
Santo Domingo,North America,May,2024,70,High,30,140,5.5,55,65
San Juan,North America,June,2024,75,High,25,145,6.0,70,70
Manila,Asia,June,2024,80,Very High,20,150,4.5,45,55
Jakarta,Asia,June,2024,80,Very High,15,155,4.0,40,50
Kuala Lumpur,Asia,June,2024,75,High,25,160,5.2,55,60
Taipei,Asia,June,2024,70,High,30,165,5.8,75,70
Shanghai,Asia,June,2024,75,Very High,20,170,5.0,80,75
Beijing,Asia,June,2024,80,Very High,15,175,4.5,85,70
New Delhi,Asia,June,2024,85,Very High,10,180,3.5,60,55
Tehran,Asia,June,2024,80,Very High,15,185,3.0,45,50
Karachi,Asia,June,2024,85,Very High,10,190,3.0,40,45
Dhaka,Asia,June,2024,90,Very High,5,195,2.5,35,40
Colombo,Asia,July,2024,75,High,25,200,5.5,45,60
Islamabad,Asia,July,2024,80,Very High,20,205,3.5,40,55
Kathmandu,Asia,July,2024,75,High,25,210,4.5,35,50
Yangon,Asia,July,2024,80,Very High,20,215,3.5,30,45
Hanoi,Asia,July,2024,85,Very High,15,220,3.0,35,40
Phnom Penh,Asia,July,2024,80,Very High,10,225,2.5,30,35
Vientiane,Asia,July,2024,75,High,15,230,4.0,25,40
Bangalore,Asia,July,2024,85,Very High,10,235,3.5,45,55
Ho Chi Minh City,Asia,July,2024,90,Very High,5,240,2.8,40,50
Jakarta,Asia,August,2024,85,Very High,10,245,3.0,35,45
Perth,Oceania,August,2024,60,Low,60,50,7.7,110,89
Adelaide,Oceania,August,2024,55,Low,65,45,7.8,105,90
Brisbane,Oceania,August,2024,60,Low,70,40,7.9,100,91
Canberra,Oceania,August,2024,55,Low,75,35,8.0,95,92
Wellington,Oceania,August,2024,50,Low,80,30,8.1,90,93
Christchurch,Oceania,August,2024,55,Low,85,25,8.2,85,94
Dunedin,Oceania,August,2024,50,Low,90,20,8.3,80,95
Queenstown,Oceania,August,2024,55,Low,95,15,8.4,75,96
Nelson,Oceania,August,2024,50,Low,100,10,8.5,70,97
Napier,Oceania,August,2024,55,Low,105,5,8.6,65,98
Hamilton,Oceania,September,2024,60,Medium,110,35,8.2,60,95
Tauranga,Oceania,September,2024,55,Low,115,30,8.3,55,96
Rotorua,Oceania,September,2024,50,Low,120,25,8.4,50,97
Palmerston North,Oceania,September,2024,55,Low,125,20,8.5,45,98
New Plymouth,Oceania,September,2024,60,Medium,130,35,8.1,40,95
Lower Hutt,Oceania,September,2024,55,Low,135,30,8.2,35,96
Napier,Oceania,September,2024,50,Low,140,25,8.3,30,97
Gisborne,Oceania,September,2024,55,Low,145,20,8.4,25,98
Kawerau,Oceania,September,2024,60,Medium,150,35,8.0,20,95
Putaruru,Oceania,September,2024,55,Low,155,30,8.1,25,96
Taupo,Oceania,October,2024,50,Low,160,25,8.2,20,97
Tokoroa,Oceania,October,2024,55,Low,165,20,8.3,25,98
Te Kuiti,Oceania,October,2024,60,Medium,170,35,7.9,20,95
Otorohanga,Oceania,October,2024,55,Low,175,30,8.0,25,96
