"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","immig_attitude"
95,94,90,90,89,94,50,100,89,79,21,99,78,89,2,"favorable"
97,99,100,100,75,97,100,52,97,29,75,84,48,97,51,"favorable"
77,83,77,90,51,75,50,69,75,89,25,50,99,94,0,"lightly favorable"
99,51,100,99,50,99,40,50,89,40,30,80,99,99,11,"favorable"
91,75,90,93,65,95,91,36,90,2,30,70,30,96,1,"favorable"
100,99,95,93,90,100,100,88,91,100,37,90,91,44,4,"favorable"
20,60,6,31,1,50,80,50,1,1,2,0,1,80,1,"strongly unfavorable"
55,52,80,53,76,49,52,97,84,80,2,63,89,51,0,"favorable"
91,85,82,80,84,90,83,89,76,88,0,91,84,89,0,"favorable"
55,59,53,50,27,50,50,17,52,6,53,51,26,100,79,"lightly favorable"
69,51,61,96,60,97,39,99,69,90,31,67,88,88,3,"lightly favorable"
51,50,50,50,50,50,10,59,89,54,6,95,87,78,3,"favorable"
93,99,97,98,87,97,52,80,98,98,31,99,97,89,1,"favorable"
91,90,90,90,90,91,90,90,89,91,40,90,89,79,20,"favorable"
19,78,47,68,5,84,61,3,61,0,24,8,31,45,74,"lightly favorable"
72,92,97,92,91,94,82,95,97,55,30,92,93,97,79,"favorable"
26,60,51,50,31,31,52,30,10,7,11,50,30,30,100,"strongly unfavorable"
77,87,76,87,77,75,84,12,68,6,15,69,11,90,9,"lightly favorable"
90,90,90,90,70,90,90,70,90,60,25,90,40,80,41,"favorable"
81,90,90,83,80,100,90,97,95,71,15,99,87,90,6,"favorable"
100,91,100,92,75,100,89,61,70,60,41,91,70,82,50,"lightly favorable"
100,44,99,99,100,100,100,79,100,3,8,100,47,99,33,"favorable"
51,74,41,50,9,70,76,10,20,1,1,50,10,50,50,"strongly unfavorable"
25,100,56,100,0,100,100,8,0,0,8,3,24,100,100,"strongly unfavorable"
100,98,27,96,89,100,99,95,35,46,54,96,36,89,51,"unfavorable/indifferent"
67,50,66,62,60,60,44,44,80,40,39,50,40,78,25,"favorable"
74,84,66,85,52,64,73,22,74,23,69,69,26,94,23,"lightly favorable"
59,92,69,55,50,64,91,40,26,10,52,9,21,90,5,"unfavorable/indifferent"
19,85,41,80,25,58,92,12,15,2,21,20,15,81,11,"strongly unfavorable"
64,56,70,67,61,60,51,68,62,63,50,60,68,47,3,"lightly favorable"
87,76,87,91,88,89,49,96,95,90,7,93,91,79,1,"favorable"
52,91,80,80,51,83,51,52,88,51,6,95,11,75,0,"favorable"
50,50,50,50,20,50,50,10,50,2,50,50,2,90,1,"unfavorable/indifferent"
91,90,90,90,11,90,100,20,37,20,50,20,6,95,50,"unfavorable/indifferent"
0,95,10,80,0,95,80,0,10,0,0,0,0,31,100,"strongly unfavorable"
11,52,18,10,9,29,67,69,8,18,12,17,40,81,34,"strongly unfavorable"
100,55,59,51,79,100,31,81,59,50,12,69,85,46,4,"lightly favorable"
100,22,78,71,56,54,77,49,52,55,27,51,48,13,2,"lightly favorable"
76,79,76,75,24,79,90,25,75,10,24,28,51,82,52,"lightly favorable"
100,86,100,100,81,100,100,100,80,97,28,100,88,99,4,"favorable"
99,100,97,100,99,99,2,100,99,78,2,100,100,100,0,"favorable"
89,70,90,90,60,90,7,90,90,90,11,95,90,50,0,"favorable"
71,83,70,81,50,69,89,51,66,10,44,20,69,88,79,"lightly favorable"
100,100,100,100,75,100,100,53,95,16,4,100,100,100,18,"favorable"
86,75,85,86,85,86,64,80,75,76,45,85,81,47,1,"lightly favorable"
75,75,50,50,50,75,10,50,50,26,10,50,10,90,0,"unfavorable/indifferent"
94,50,80,82,42,98,47,57,76,20,12,88,77,77,6,"favorable"
100,62,77,60,46,77,91,80,50,90,50,64,70,47,0,"unfavorable/indifferent"
63,59,61,68,62,61,50,63,62,61,40,66,71,50,0,"lightly favorable"
91,91,91,91,91,91,91,91,91,91,3,91,53,91,2,"favorable"
80,95,51,75,24,83,72,4,80,6,94,75,6,99,66,"favorable"
90,85,90,75,75,99,75,90,90,46,10,95,75,70,1,"favorable"
93,53,78,91,52,88,84,84,78,90,37,81,72,65,19,"favorable"
60,91,55,62,42,91,96,57,51,12,52,46,55,95,28,"lightly favorable"
87,61,76,78,52,76,33,83,77,78,4,87,91,59,2,"favorable"
79,63,100,91,95,78,13,99,52,100,15,78,100,73,0,"lightly favorable"
75,20,70,60,70,60,11,70,70,70,3,70,80,50,1,"lightly favorable"
90,60,100,100,75,100,10,100,100,100,10,100,100,50,0,"favorable"
80,80,80,80,51,80,80,41,50,1,51,32,61,100,31,"unfavorable/indifferent"
90,58,88,88,53,91,3,90,75,66,6,98,81,42,3,"lightly favorable"
50,50,50,50,50,51,50,75,75,50,25,50,75,75,0,"lightly favorable"
70,70,70,70,65,70,70,76,70,75,40,85,50,90,2,"lightly favorable"
50,50,50,50,0,50,99,0,50,0,50,50,25,100,50,"unfavorable/indifferent"
64,58,88,89,50,97,52,97,66,77,9,94,88,65,0,"lightly favorable"
69,71,59,61,61,59,70,71,61,56,31,50,60,71,2,"lightly favorable"
70,71,70,70,40,70,31,61,75,40,41,55,31,79,6,"lightly favorable"
57,88,62,54,3,92,77,3,18,1,16,49,17,96,1,"strongly unfavorable"
94,50,94,94,94,94,65,89,94,100,44,94,85,59,0,"favorable"
100,25,100,52,50,56,1,50,50,50,0,100,100,100,0,"unfavorable/indifferent"
61,89,70,99,21,95,99,1,76,3,21,51,50,51,99,"favorable"
48,89,19,50,4,48,2,59,28,28,33,53,30,75,3,"unfavorable/indifferent"
69,96,52,100,29,100,100,29,40,0,49,90,79,100,20,"unfavorable/indifferent"
75,75,75,75,75,75,65,75,75,75,25,75,75,80,0,"lightly favorable"
70,70,70,70,70,70,70,90,70,65,19,70,70,70,5,"lightly favorable"
81,84,88,81,81,77,41,100,79,100,30,89,80,80,0,"favorable"
77,52,69,78,66,69,20,80,81,78,16,99,90,29,1,"favorable"
100,100,100,100,100,100,100,100,100,100,63,100,99,100,2,"favorable"
72,84,71,75,25,77,94,78,29,50,53,65,39,93,52,"unfavorable/indifferent"
50,50,56,50,50,50,75,30,75,40,30,40,21,90,30,"lightly favorable"
78,100,80,93,0,80,100,43,51,0,50,3,32,100,76,"lightly favorable"
50,11,50,51,51,51,4,50,50,51,29,50,98,50,0,"unfavorable/indifferent"
99,78,100,69,51,99,51,100,100,100,0,100,80,50,0,"favorable"
88,69,87,79,85,89,28,99,84,93,7,96,94,62,0,"favorable"
64,51,56,51,54,55,56,57,60,69,2,65,57,27,1,"lightly favorable"
51,99,30,88,33,82,99,94,34,14,29,90,82,97,54,"unfavorable/indifferent"
45,75,75,50,5,50,75,75,40,10,50,50,25,75,25,"unfavorable/indifferent"
52,64,47,63,38,84,24,27,56,0,51,62,3,44,1,"lightly favorable"
100,100,100,100,100,100,100,75,83,34,44,98,47,100,28,"favorable"
100,99,100,100,100,100,42,88,98,93,8,100,73,100,0,"favorable"
30,80,100,80,100,100,50,100,100,1,1,95,99,90,1,"favorable"
84,48,39,75,81,70,52,52,98,51,2,76,70,3,1,"favorable"
80,100,90,100,3,100,100,0,75,0,100,50,1,100,100,"lightly favorable"
96,97,99,100,96,97,93,100,100,90,7,100,100,80,3,"favorable"
71,90,81,51,61,47,9,50,68,76,2,100,99,50,1,"lightly favorable"
98,97,97,97,97,98,99,36,97,1,97,97,13,95,6,"favorable"
75,75,75,75,60,75,75,60,75,30,25,75,65,80,0,"lightly favorable"
51,50,50,50,66,70,70,61,61,40,21,50,40,46,0,"lightly favorable"
63,75,74,72,76,99,78,50,74,25,5,74,99,100,8,"lightly favorable"
97,89,93,90,97,98,89,100,98,87,17,100,81,85,0,"favorable"
89,91,94,96,31,99,99,34,75,1,69,79,21,100,17,"lightly favorable"
79,75,76,78,52,77,75,28,53,6,52,78,11,74,53,"lightly favorable"
77,50,77,77,77,77,25,77,77,77,26,77,77,70,0,"favorable"
100,100,100,100,100,100,100,81,100,50,31,49,50,90,50,"favorable"
76,76,78,51,52,52,57,51,51,51,15,52,87,79,15,"lightly favorable"
100,100,100,100,86,100,100,31,100,2,78,100,19,89,31,"favorable"
100,86,100,99,100,100,2,69,91,79,2,100,52,90,1,"favorable"
79,95,90,90,21,90,95,31,90,22,85,90,20,93,50,"favorable"
79,80,80,80,60,80,80,80,80,80,3,80,41,80,1,"favorable"
70,80,80,75,60,80,50,90,90,70,5,38,90,84,2,"favorable"
75,88,81,81,51,80,81,10,79,3,60,51,5,100,26,"favorable"
51,50,51,50,31,96,51,20,50,0,22,50,11,75,49,"unfavorable/indifferent"
42,100,96,32,19,61,100,42,12,0,2,2,0,79,2,"strongly unfavorable"
50,50,50,50,50,60,60,6,31,0,50,37,1,60,91,"unfavorable/indifferent"
100,100,100,100,100,100,100,100,100,70,40,100,60,100,50,"favorable"
100,100,100,100,100,100,100,100,100,100,0,100,100,61,0,"favorable"
99,94,90,94,76,100,99,25,84,0,80,89,17,100,3,"favorable"
100,100,100,100,97,100,92,100,100,90,28,100,96,91,43,"favorable"
90,91,90,91,88,90,90,90,90,75,0,90,100,95,0,"favorable"
92,80,92,88,87,92,90,81,76,81,22,78,76,69,48,"favorable"
80,100,100,100,66,100,26,100,100,100,3,100,80,100,2,"favorable"
72,81,84,85,51,76,91,40,69,5,35,51,44,81,50,"lightly favorable"
89,88,84,99,57,82,100,52,66,87,18,77,73,100,55,"lightly favorable"
75,75,75,75,75,75,75,10,50,0,75,75,0,80,0,"unfavorable/indifferent"
100,100,100,100,100,100,100,100,100,97,4,87,88,77,1,"favorable"
50,48,78,78,56,78,50,85,82,66,22,78,56,59,19,"favorable"
50,50,50,50,50,50,45,50,50,50,0,50,50,50,0,"unfavorable/indifferent"
70,62,60,89,59,61,31,61,59,11,30,69,60,31,0,"lightly favorable"
100,100,100,100,90,100,60,95,95,70,40,100,70,98,6,"favorable"
50,50,50,50,62,50,51,64,80,5,54,50,41,100,81,"favorable"
41,50,50,90,0,80,96,1,51,0,51,61,25,81,0,"lightly favorable"
75,72,76,73,75,79,50,77,79,69,28,80,70,40,9,"favorable"
44,59,41,48,38,45,42,48,50,41,21,81,77,60,4,"unfavorable/indifferent"
45,45,50,50,50,50,15,50,74,45,20,70,80,40,0,"lightly favorable"
98,90,80,98,76,98,98,50,46,0,45,75,59,99,50,"unfavorable/indifferent"
73,90,63,84,5,90,32,35,37,5,6,100,67,52,8,"unfavorable/indifferent"
100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,"favorable"
80,81,80,80,44,54,46,43,80,19,45,80,71,70,10,"favorable"
75,89,74,69,73,24,70,81,78,83,8,70,62,57,1,"favorable"
100,35,100,100,90,75,25,50,100,75,5,100,100,25,1,"favorable"
80,69,60,67,77,61,61,49,61,71,5,52,11,30,6,"lightly favorable"
5,100,5,21,1,68,95,2,2,1,14,92,6,77,81,"strongly unfavorable"
76,66,78,77,50,71,61,77,81,51,4,91,70,40,3,"favorable"
99,60,99,99,99,99,30,99,91,90,3,100,78,95,0,"favorable"
50,95,52,78,7,81,85,20,28,1,69,65,23,80,72,"unfavorable/indifferent"
93,63,100,99,95,97,83,87,97,62,28,99,75,100,13,"favorable"
90,80,94,90,91,90,50,96,90,92,0,100,100,70,0,"favorable"
91,91,100,99,99,96,30,98,99,80,0,100,100,51,0,"favorable"
61,55,78,78,11,59,7,79,79,86,20,97,94,50,4,"favorable"
53,46,50,50,53,52,9,64,50,51,2,53,65,63,1,"unfavorable/indifferent"
97,95,95,94,80,94,94,11,90,0,76,96,3,100,53,"favorable"
75,75,75,75,75,75,45,95,76,95,5,95,95,50,3,"favorable"
89,50,80,90,50,80,50,50,80,50,10,70,50,90,4,"favorable"
94,49,90,51,89,86,5,73,76,58,0,96,54,40,0,"favorable"
52,51,50,50,50,50,50,92,70,67,6,53,64,66,0,"lightly favorable"
100,50,52,50,52,52,37,99,82,78,4,99,74,41,0,"favorable"
70,70,70,70,70,70,70,70,70,70,10,70,70,70,10,"lightly favorable"
64,64,82,89,71,73,21,77,81,51,15,90,75,69,4,"favorable"
50,50,50,50,6,50,50,51,50,41,6,50,79,80,50,"unfavorable/indifferent"
65,65,65,65,40,65,90,50,71,30,50,50,3,95,2,"lightly favorable"
100,50,100,100,81,75,50,100,80,100,1,100,100,51,1,"favorable"
77,80,79,80,80,79,52,80,59,60,4,80,88,90,2,"lightly favorable"
81,79,79,78,55,65,71,36,76,53,20,50,50,86,35,"favorable"
50,50,50,51,53,53,85,1,9,3,54,51,5,99,50,"strongly unfavorable"
77,81,52,78,10,80,91,0,75,0,24,26,10,81,53,"lightly favorable"
50,80,50,50,50,50,70,40,51,20,3,50,95,65,1,"lightly favorable"
80,80,80,80,50,80,81,3,50,3,16,80,11,66,31,"unfavorable/indifferent"
57,79,38,57,6,77,77,20,54,2,65,44,4,81,77,"lightly favorable"
99,79,98,99,95,95,76,97,98,99,34,95,97,80,5,"favorable"
76,51,51,70,3,100,100,2,43,3,28,4,4,99,50,"unfavorable/indifferent"
63,86,19,65,19,64,50,15,46,13,51,20,11,78,39,"unfavorable/indifferent"
50,50,65,66,30,50,60,40,26,5,50,50,21,80,50,"unfavorable/indifferent"
67,76,75,72,61,85,74,79,67,74,6,50,100,84,2,"lightly favorable"
53,53,51,62,10,52,81,1,53,2,7,53,31,81,3,"lightly favorable"
50,70,76,81,50,71,51,50,50,21,51,75,51,100,3,"unfavorable/indifferent"
98,97,100,99,97,100,100,100,90,75,86,100,98,97,1,"favorable"
10,92,81,93,79,84,92,33,51,0,34,78,8,93,94,"lightly favorable"
61,67,60,55,69,72,55,50,63,20,33,65,37,63,1,"lightly favorable"
51,79,51,50,0,1,71,0,19,0,27,10,0,50,81,"strongly unfavorable"
87,95,90,88,91,94,86,53,91,28,45,94,45,95,41,"favorable"
90,91,90,91,90,90,90,1,100,0,90,51,10,100,50,"favorable"
95,95,95,95,80,95,95,95,51,5,15,95,15,100,5,"lightly favorable"
9,96,38,63,16,80,87,9,48,5,88,13,33,100,100,"unfavorable/indifferent"
99,100,50,81,13,100,100,3,52,2,50,51,1,100,100,"lightly favorable"
64,78,76,82,36,61,65,29,68,27,47,51,12,70,50,"lightly favorable"
50,50,50,50,50,68,50,0,50,0,0,50,26,85,0,"unfavorable/indifferent"
50,50,50,50,50,50,51,40,50,31,40,50,50,70,50,"unfavorable/indifferent"
100,100,100,100,89,100,100,100,50,30,79,100,30,99,20,"unfavorable/indifferent"
9,79,20,50,1,0,51,0,1,1,0,5,2,51,99,"strongly unfavorable"
100,100,100,100,100,100,76,21,100,1,20,100,49,100,3,"favorable"
